Landslide_ID,Camp_name,Latitude,Longitude,Elevation (m),Date_of_movement,General_slope (degree),Slided_slope (degree),Width (m),Length_prev (m),Length_after (m),Depth (m),Material,Movement_type,State,Distribution,Style,Flow_accumulation_10yr_multiplied_log,Flow_accumulation_20yr_multiplied_log,Flow_accumulation_50yr_multiplied_log,Slope_classification,Flow_direction,Runoff_10yr,Runoff_20yr,Runoff_50yr,Fill_sinks,Basins,Landslide_Occurred
21,4 ext,21.206937,92.134959,2.1,2020,20.0,32.0,10.3,6.7,5.2,2.1,Soil or Earth,Earth Flow,Active,Advancing,Successive,6.036085725945588,6.118351071105828,6.22224769381081,1.0,1.0,1322.194580078125,1597.94091796875,2029.8190917968752,22.0,767.0,1
22,4 ext,21.206823,92.136154,2.0,2020,22.0,34.0,16.5,8.4,7.3,2.0,Soil or Earth,Earth Flow,Active,Advancing,Successive,6.63814568502026,6.118351071105828,6.22224769381081,2.0,6.0,1322.194580078125,1597.94091796875,2029.8190917968752,20.0,767.0,1
23,4 ext,21.202571,92.135722,4.5,2020,20.0,40.0,15.9,8.6,7.6,4.5,Soil or Earth,Slide,Active,Advancing,Successive,6.036085725945588,6.118351071105828,6.22224769381081,1.0,7.0,1322.194580078125,1597.94091796875,2029.8190917968752,24.0,767.0,1
24,4 ext,21.204248,92.135753,3.5,2020,20.0,35.0,7.0,7.0,5.0,3.5,Soil or Earth,Earth Flow,Stabilized,Confined,Successive,6.33711572160957,6.41938106676981,6.523277689474792,2.0,0.0,1322.194580078125,1597.94091796875,2029.8190917968752,19.600425720214844,767.0,1
25,4 ext,21.203535,92.136858,7.0,2019,35.0,70.0,12.0,15.0,10.0,7.0,Soil or Earth,Slide,Stabilized,Advancing,Successive,6.73505571738029,6.817321062540532,6.92121767862152,1.0,0.0,1322.194580078125,1597.94091796875,2029.8190917968752,19.783397674560547,767.0,1
27,17,21.201641,92.146061,2.5,2020,26.0,40.0,7.5,3.7,2.6,1.5,Soil or Earth,Slide,Active,"Advancing, Enlarging",Successive,6.036085725945588,6.118351071105828,6.22224769381081,2.0,7.0,1322.194580078125,1597.94091796875,2029.8190917968752,24.0,767.0,1
28,17,21.200225,92.14471,6.5,2020,24.0,36.0,12.6,16.0,14.6,6.5,Soil or Earth,Slide,Dormant,Advancing,Successive,6.513206959163058,6.595472304323296,6.69936893768308,1.0,0.0,1322.194580078125,1597.94091796875,2029.8190917968752,18.491769790649418,767.0,1
29,17,21.198921,92.143836,7.0,2020,20.0,40.0,25.0,15.0,12.0,7.0,Soil or Earth,Slide,Active,Advancing,Successive,6.638145717273552,6.72041106243379,6.824307685138774,2.0,2.0,1322.194580078125,1597.94091796875,2029.8190917968752,20.0,767.0,1
30,17,21.197666,92.142812,2.2,2020,40.0,60.0,9.8,4.0,2.8,2.2,Soil or Earth,Slide,Active,Advancing,Successive,6.88118377517507,6.96344912033531,7.067345747771714,2.0,4.0,1322.194580078125,1597.94091796875,2029.8190917968752,19.12079620361328,161.0,1
31,17,21.197759,92.13899,6.5,2020,30.0,50.0,7.6,15.5,13.3,6.5,Soil or Earth,Slide,Active,Advancing,Complex,7.89940856397475,7.98167390913499,8.08557052049752,1.0,4.0,1322.194580078125,1597.94091796875,2029.8190917968752,20.341663360595703,161.0,1
