FID,OBJECTID,Location,State,Water_Cont,Material,Damae_Int2,Economic,District,ID,Fail_Type,Date,Distri_,Death_,Settlemet_,Dam_Int1,Area,Triggers_
364,365,"Kathalbagan, Depachari,Manikchari",Active,Wet,Debris,Low,Low,Rangamati,365,Slide,13/06/2017,Advancing,0,0,Nil,387,Rainfall
365,366,"Manikchari, On Road",Active,Wet,Soil,Low,Low,Rangamati,366,Slide,13/06/2017,Advancing,0,0,Nil,26,Rainfall
366,367,"Manikchari, On Road",Active,Wet,Soil,High,Medium,Rangamati,367,Slide,13/06/2017,Advancing,0,0,Nil,354,Rianfall
367,368,"Manikchari, On Road",Active,Wet,Debris,Low,Low,Rangamati,368,Flow,13/06/2017,Advancing,0,0,Nil,87,Rainfall
368,369,Manikchari Sabek Park,Active,Wet,Debris,Low,Low,Rangamati,369,Flow,13/06/2017,Advancing,0,0,Nil,100,Rainfall
369,370,Manikchari Sabek Park,Active,Wet,Debris,Low,Low,Rangamati,370,Flow,13/06/2017,Advancing,0,0,Nil,79,Rainfall
370,371,"Manikchari, On Road",Active,Wet,Debris,Low,Low,Rangamati,371,Flow,13/06/2017,Advancing,0,0,Nil,22,Rainfall
371,372,"Reserve Mukh, Sadar",Active,Wet,Debris,High,High,Rangamati,372,Flow,13/06/2017,Advancing,0,3,High,102,Rainfall
372,373,"Somajsheba Office, Sadar",Active,Wet,Debris,Low,Low,Rangamati,373,Flow,13/06/2017,Advancing,0,0,Nil,178,Rainfall
373,374,"Reserve Bazar, Shaheed Minar, Sadar",Active,Wet,Debris,High,High,Rangamati,374,Flow,13/06/2017,Advancing,0,4,High,56,Rainfall
374,375,Reserve Bazar,Active,Wet,Debris,Medium,Medium,Rangamati,375,Flow,13/06/2017,Advancing,0,2,Medium,124,Rainfall
375,376,"Shilpakola Academy, Sadar",Active,Wet,Debris,Low,Low,Rangamati,376,Flow,13/06/2017,Advancing,0,0,Nil,60,Rainfall
376,377,"Shevron Dental Care, Sadar",Active,Wet,Debris,Low,Low,Rangamati,377,Flow,13/06/2017,Advancing,0,0,Nil,22,Rainfall
377,378,"Vedvedi Bazar, Sadar",Active,Wet,Debris,Low,Low,Rangamati,378,Flow,13/06/2017,Advancing,0,0,Nil,39,Rainfall
378,379,"Haji Colony, Manikchari",Active,Wet,Debris,Nil,Low,Rangamati,379,Flow,13/06/2017,Advancing,0,2,Medium,15,Rainfall
379,380,"Haji Colony, Manikchari",Active,Wet,Soil,Nil,Low,Rangamati,380,Slide,13/06/2017,Advancing,0,0,Nil,32,Rainfall
380,381,"Haji Colony, Manikchari",Active,Wet,Soil,Low,Low,Rangamati,381,Slide,13/06/2017,Moving,0,1,Low,40,Rainfall
381,382,"Masjid Para, Manikchari",Active,Wet,Soil,Low,Low,Rangamati,382,Fall,13/06/2017,Advancing,0,1,Low,45,Rainfall
382,383,"Masjid Para, Manikchari",Active,Wet,Debris,Low,Nil,Rangamati,383,Fall,13/06/2017,Advancing,0,1,Low,17,Rainfall
383,384,"Masjid Para, Manikchari",Active,Wet,Soil,Nil,Nil,Rangamati,384,Flow,13/06/2017,Advancing,0,0,Nil,47,Rainfall
384,385,"Masjid Para, Manikchari",Active,Wet,Soil,Low,Low,Rangamati,385,Fall,13/06/2017,Advancing,0,1,Low,58,Rainfall
385,386,"Masjid Para, Manikchari",Active,Wet,Soil,Low,Low,Rangamati,386,Flow,13/06/2017,Advancing,0,0,Nil,25,Rainfall
386,387,"Manikchari, On Road",Active,Wet,Soil,High,High,Rangamati,387,Complex,13/06/2017,Advancing,6,4,High,51,Load on Top
