Landslide_ID,Camp_name,Latitude,Longitude,Elevation (m),Date_of_movement,General_slope (degree),Slided_slope (degree),Width (m),Length_prev (m),Length_after (m),Depth (m),Material,Movement_type,State,Distribution,Style,,,,,,,,,,,,,,,
37,18,21.191907,92.149136,5.00,2020,20,38,7.0,10.0,7.5,5.0,Soil or Earth,Fall,Active,Advancing,Successive,,,,,,,,,,,,,,,
38,18,21.191816,92.149505,4.10,2020,20,42,4.3,8.4,5.8,4.1,Soil or Earth,Slide,Active,Advancing,Successive,,,,,,,,,,,,,,,
39,18,21.187977,92.147786,2.30,2020,24,32,20.3,8.0,5.1,2.3,Soil or Earth,Slide,Active,"Advancing, Enlarging",Successive,,,,,,,,,,,,,,,
40,18,21.192159,92.149587,1.00,2020,18,40,4.5,5.0,2.0,1.0,Soil or Earth,Slide,Active,Advancing,Successive,,,,,,,,,,,,,,,
41,18,21.189326,92.147043,2.30,2020,22,46,13.7,5.5,4.5,2.3,Soil or Earth,Fall,Active,"Advancing, Enlarging, Widening",Successive,,,,,,,,,,,,,,,
42,18,21.189096,92.146231,6.50,2020,28,44,6.7,15.0,12.5,6.5,Soil or Earth,Complex,Active,"Advancing, Enlarging",Successive,,,,,,,,,,,,,,,
43,18,21.188944,92.147269,2.30,2020,24,35,20.0,7.5,5.5,2.3,Soil or Earth,Slide,Active,"Advancing, Enlarging",Successive,,,,,,,,,,,,,,,
44,18,21.185431,92.149369,8.00,2020,30,70,25.0,16.0,10.0,8.0,Soil or Earth,Complex,Active,Advancing,Successive,,,,,,,,,,,,,,,
45,18,21.185112,92.148899,15.00,2020,38,50,35.0,24.4,30.0,15.0,Soil or Earth,Complex,Reactivated,Advancing,Successive,,,,,,,,,,,,,,,
46,18,21.187025,92.151168,22.00,2020,46,54,80.0,30.6,40.0,22.0,Soil or Earth,Complex,Reactivated,Advancing,Successive,,,,,,,,,,,,,,,
47,18,21.186603,92.150665,12.00,2020,30,45,35.0,26.0,15.0,13.0,Soil or Earth,Slide,Reactivated,Advancing,Successive,,,,,,,,,,,,,,,
48,18,21.188497,92.148852,8.00,2020,38,60,18.0,13.0,12.0,8.0,Soil or Earth,Slide,Active,Advancing,Successive,,,,,,,,,,,,,,,
49,18,21.189551,92.150556,2.00,2020,30,45,12.0,4.0,3.0,2.0,Soil or Earth,Slide,Reactivated,Advancing,Complex,,,,,,,,,,,,,,,
50,12,21.181916,92.150142,3.50,2020,22,40,5.0,10.0,7.0,3.5,Soil or Earth,Fall,Active,"Advancing, Enlarging, Widening",Successive,,,,,,,,,,,,,,,
51,12,21.182394,92.149359,4.60,2020,21,42,9.9,11.3,9.4,4.6,Soil or Earth,Slide,Active,Advancing,Successive,,,,,,,,,,,,,,,
52,12,21.182190,92.148931,21.00,2019,32,60,17.0,38.0,30.0,21.0,Soil or Earth,Complex,Active,Advancing,Successive,,,,,,,,,,,,,,,
53,12,21.182502,92.150202,5.00,2020,24,44,8.0,12.0,10.0,5.0,Soil or Earth,Fall,Active,Advancing,Successive,,,,,,,,,,,,,,,
54,12,21.182520,92.151834,6.00,2020,70,40,10.0,20.0,15.0,6.0,Soil or Earth,Fall,Active,Advancing,Successive,,,,,,,,,,,,,,,
55,12,21.182394,92.152177,2.30,2020,19,45,9.0,7.0,5.0,2.3,Soil or Earth,Fall,Active,Advancing,Successive,,,,,,,,,,,,,,,
56,12,21.184377,92.148323,30.00,2020,36,55,120.0,51.0,105.0,30.0,Soil or Earth,Complex,Active,Advancing,Successive,,,,,,,,,,,,,,,
57,12,21.184489,92.149925,15.00,2018,40,70,25.0,23.3,30.0,15.0,Soil or Earth,Complex,Active,Advancing,Successive,,,,,,,,,,,,,,,
58,12,21.184136,92.150783,12.00,2019,42,55,22.0,17.9,18.0,12.0,Soil or Earth,Complex,Active,Advancing,Successive,,,,,,,,,,,,,,,
59,19,21.181609,92.147133,3.90,2017,15,55,11.3,12.0,7.0,3.9,Soil or Earth,Slide,Active,"Advancing, Enlarging",Successive,,,,,,,,,,,,,,,
60,19,21.182073,92.147172,8.80,2020,16,70,12.0,12.3,10.5,8.8,Soil or Earth,Slide,Active,Advancing,Successive,,,,,,,,,,,,,,,
61,19,21.186267,92.142888,10.00,2020,26,52,21.5,22.0,16.0,10.0,Soil or Earth,Complex,Active,"Advancing, Widening",Successive,,,,,,,,,,,,,,,
62,19,21.185877,92.143148,5.60,2020,20,44,7.3,12.5,11.4,5.6,Soil or Earth,Fall,Active,Advancing,Successive,,,,,,,,,,,,,,,
63,19,21.185588,92.143183,2.30,2020,17,37,11.0,8.0,6.0,2.3,Soil or Earth,Fall,Stabilized,Advancing,Successive,,,,,,,,,,,,,,,
64,19,21.185436,92.140939,50.00,2020,30,50,120.0,100.0,100.0,50.0,Soil or Earth,Complex,Active,Advancing,Successive,,,,,,,,,,,,,,,
