fid,fid_new1,fclass,name,maxspeed,length,combined_id_min,combined_id_max,DN_mean,time_needed (min)
"194","194",path,,"10","94.8959016325271","724","725","6.666667","0.569375409795162"
"195","195",path,,"10","94.8959016325271","58408","724","7","0.569375409795162"
"196","196",path,,"10","78.1139892127137","46669","51385","6.5","0.468683935276282"
"197","197",path,,"10","5.80303879367079","46669","735","7","0.0348182327620247"
"198","198",path,,"10","15.5668765536665","50071","745","6","0.0934012593219987"
"199","199",path,,"10","29.7168529844578","745","750","6","0.178301117906747"
"200","200",path,,"10","28.7552789520442","750","753","6","0.172531673712265"
"201","201",path,,"10","21.6485637365769","753","758","6","0.129891382419461"
"202","202",path,,"10","33.2882825799598","758","760","6","0.199729695479759"
"203","203",path,,"10","4.54011105924452","760","761","6.5","0.0272406663554671"
"205","205",path,,"10","4.51247163226552","59677","59692","6","0.0270748297935931"
"206","206",path,,"10","26.244470429331","59665","59692","6","0.157466822575986"
"207","207",path,,"10","4.75673656239928","59640","59665","6","0.0285404193743957"
"208","208",path,,"10","12.4465798682714","59637","59640","6","0.0746794792096285"
"209","209",path,,"10","3.11250982758768","46713","59637","6","0.0186750589655261"
"210","210",path,,"10","14.9255261201149","46713","59661","6","0.0895531567206896"
"211","211",path,,"10","6.05729432858697","46697","59661","6","0.0363437659715218"
"212","212",path,,"10","21.138901612712","46697","797","6","0.126833409676272"
"213","213",path,,"10","14.0864003777771","797","805","6.5","0.0845184022666623"
"214","214",path,,"10","15.4109813849694","54551","805","7","0.0924658883098163"
"215","215",path,,"10","27.0144490119482","54551","809","7","0.162086694071689"
"216","216",path,,"10","3.79635796742355","59623","824","6","0.0227781478045413"
"217","217",path,,"10","87.9300990683615","59623","837","6","0.527580594410169"
"218","218",path,,"10","21.1241155682762","824","877","6","0.126744693409657"
"219","219",path,,"10","6.12144249352781","59625","824","6","0.0367286549611669"
"220","220",path,,"10","17.2822013707347","59629","829","6","0.103693208224408"
"221","221",path,,"10","13.9726861810268","59629","837","6","0.083836117086161"
"222","222",path,,"10","13.1130706064276","59625","837","6","0.0786784236385655"
"223","223",path,,"10","25.5556171104737","841",CXB-203_D018 _05,"6.5","0.153333702662842"
"224","224",path,,"10","25.5556171104737","844",CXB-203_D018 _05,"7","0.153333702662842"
"225","225",path,,"10","31.7540205401249","845","848","7","0.190524123240749"
"226","226",path,,"10","117.690339924442","51476","849","6.5","0.706142039546652"
"227","227",path,,"10","35.7783220249712","51484","857","6","0.214669932149827"
"228","228",path,,"10","50.8571255295178","857",CXB-203_D018 _06,"6","0.305142753177107"
"229","229",path,,"10","50.8571255295178","861",CXB-203_D018 _06,"6.5","0.305142753177107"
"230","230",path,,"10","20.1991168006543","46687","59581","6","0.121194700803926"
"231","231",path,,"10","5.27495175930861","46687","59504","6","0.0316497105558517"
"232","232",path,,"10","39.0557985495622","59504","877","6","0.234334791297373"
"233","233",path,,"10","54.7054710442402","877","880","6.5","0.328232826265441"
"234","234",path,,"10","10.1277580386323","46693","880","7","0.0607665482317936"
"235","235",path,,"10","3.3363762397274","46693","845","7","0.0200182574383644"
"236","236",path,,"10","20.6846119610211","845",HF_409,"7","0.124107671766127"
"237","237",path,,"10","20.6846119610211","893",HF_409,"7","0.124107671766127"
"238","238",path,,"10","7.92885105836054","841","893","6.5","0.0475731063501633"
"239","239",path,,"10","52.982148612481","51473","841","6","0.317892891674886"
"240","240",path,,"10","37.197947193387","51473","909","6","0.223187683160322"
"241","241",path,,"10","35.9490343853495","908","909","6","0.215694206312097"
"242","242",path,,"10","32.2789488472657","59741","912","6","0.193673693083594"
"243","243",path,,"10","7.05735886106416","59741","59747","6","0.042344153166385"
"244","244",path,,"10","9.38755880790567","59737","59747","6","0.056325352847434"
"245","245",path,,"10","10.1972669468845","59561","59737","6","0.0611836016813071"
"246","246",path,,"10","7.27288298854112","59561","59572","6","0.0436372979312467"
"247","247",path,,"10","9.84671134723182","59572","59581","6","0.059080268083391"
"248","248",path,,"10","78.8098672497169","59581","940","6","0.472859203498302"
"249","249",path,,"10","11.2782136910442","59537","940","6","0.0676692821462652"
"250","250",path,,"10","9.85401632054721","59537","948","6","0.0591240979232833"
"251","251",path,,"10","22.9308764527608","948",CXB-203_D018 _07,"6.5","0.137585258716565"
"252","252",path,,"10","9.55208401374162","59528",CXB-203_D018 _07,"7.5","0.0573125040824497"
"253","253",path,,"10","15.3310349331704","59528","960","8","0.0919862095990223"
"254","254",path,,"10","2.0346879812331","59485","960","8","0.0122081278873986"
"255","255",path,,"10","5.82344798880787","59485","965","8","0.0349406879328472"
"256","256",path,,"10","53.9841083537693","50069","969","6","0.323904650122616"
"257","257",path,,"10","16.8213960535345","50069","978","6.5","0.100928376321207"
"258","258",path,,"10","6.63004842924657","977","978","7","0.0397802905754794"
"259","259",path,,"10","2.73686112335001","980","984","6","0.0164211667401001"
"260","260",path,,"10","49.5483148611836","984","989","6","0.297289889167102"
"261","261",path,,"10","33.4495973060313","988","989","6.5","0.200697583836188"
"262","262",path,,"10","39.0081576421465","50691","991","7","0.234048945852879"
"263","263",path,,"10","6.4195925183351","1000","991","7","0.0385175551100106"
"264","264",path,,"10","21.619941345285","1000","1005","7","0.12971964807171"
"265","265",path,,"10","23.6807434151006","1005","46680","7","0.142084460490604"
"266","266",path,,"10","26.1464956920242","1009","1012","6.5","0.156878974152145"
"267","267",path,,"10","39.2647508331584","1012","977","6.5","0.235588504998951"
"268","268",path,,"10","22.1233839587785","50071","977","6.5","0.132740303752671"
"269","269",path,,"10","26.9039382575754","1021","59881","7","0.161423629545452"
"270","270",path,,"10","10.6157019494855","59733","59881","7","0.0636942116969129"
"271","271",path,,"10","14.2383218033437","1033","59733","7","0.085429930820062"
"272","272",path,,"10","49.7383866178591","1033","980","6.5","0.298430319707154"
"273","273",path,,"10","70.574264416552","1037",CXB-204_A020 _02,"7","0.423445586499312"
"274","274",path,,"10","70.574264416552","54120",CXB-204_A020 _02,"7.5","0.423445586499312"
"275","275",path,,"10","25.6583428828423","54120","59507","7.5","0.153950057297054"
"276","276",path,,"10","9.49400305666873","1049","59507","8","0.0569640183400124"
"277","277",path,,"10","19.6492406189602","1049","1053","7.5","0.117895443713761"
"278","278",path,,"10","12.5001784515475","1053","54472","7","0.0750010707092851"
"279","279",path,,"10","24.1881195394275","50087","54472","7","0.145128717236565"
"280","280",path,,"10","28.4807595945527","50087","50095","7","0.170884557567316"
"281","281",path,,"10","7.12385988816957","1072","50095","7","0.0427431593290174"
"282","282",path,,"10","24.2140547319413","1072","1073","7","0.145284328391648"
"283","283",path,,"10","32.8974481312949","1073",CXB-203_D018 _01,"6.5","0.197384688787769"
"284","284",path,,"10","32.8974481312949","50073",CXB-203_D018 _01,"6","0.197384688787769"
"285","285",path,,"10","16.0959168539243","49192","50073","6.5","0.0965755011235459"
"286","286",path,,"10","47.5198914638833","1089","49192","6.5","0.2851193487833"
"287","287",path,,"10","30.9049470642885","1089","59557","6","0.185429682385731"
"288","288",path,,"10","14.6585497108689","1097","59557","6","0.0879512982652134"
"289","289",path,,"10","18.6217265684484","1097","59823","6","0.11173035941069"
"290","290",path,,"10","10.6129643184707","59823","59841","6","0.0636777859108242"
"291","291",path,,"10","26.750530644801","59841","912","6","0.160503183868806"
"292","292",path,,"10","14.0625968467462","1112","912","6","0.0843755810804769"
"293","293",path,,"10","35.31058609384","1112","52521","6","0.21186351656304"
"294","294",path,,"10","42.8586544596837","1117",CXB-203_C017 _08,"6","0.257151926758103"
"295","295",path,,"10","42.8586544596837","1124",CXB-203_C017 _08,"6","0.257151926758103"
"296","296",path,,"10","58.232118750073","1124","49187","6","0.349392712500438"
"297","297",residential,,"10","25.3858196422396","1134","2553","6","0.152314917853438"
"298","298",residential,,"10","2.93156406417409","1134","1138","6","0.0175893843850446"
"299","299",residential,,"10","28.8122742922998","1138","1141","6","0.172873645753799"
"300","300",residential,,"10","31.4066604763364","1141","1145","6","0.188439962858019"
"301","301",residential,,"10","27.4143472469271","1145","1149","6.5","0.164486083481563"
"302","302",residential,,"10","53.8279223346441","1148","1149","6.5","0.322967534007865"
"303","303",residential,,"10","8.08009877710786","1148","1157","6","0.0484805926626472"
"304","304",residential,,"10","21.1910590305864","1157","1162","6","0.127146354183519"
"305","305",residential,,"10","51.0853838369154","1162","1165","6","0.306512303021492"
