nodeID,xCoord,yCoord,isHealthcare,old_id
1089,21.207087,92.16456,False,1089
1097,21.206727,92.16442,False,1097
1112,21.206249,92.164023,False,1112
1117,21.2066,92.165031,False,1117
1124,21.206985,92.165039,False,1124
1134,21.213855,92.156344,False,1134
1138,21.21383,92.156353,False,1138
1141,21.213587,92.156452,False,1141
1145,21.213394,92.156665,False,1145
1148,21.213111,92.157354,False,1148
1149,21.213246,92.156877,False,1149
1157,21.213109,92.157432,False,1157
1162,21.213079,92.157634,False,1162
1165,21.21275,92.157923,False,1165
1172,21.211599,92.157791,False,1172
1180,21.211108,92.157817,False,1180
1181,21.210815,92.157805,False,1181
1183,21.21037,92.158017,False,1183
1185,21.203859,92.166182,False,1185
1187,21.204656,92.166864,False,1187
1189,21.204692,92.166033,False,1189
1206,21.195292,92.162907,False,1206
1209,21.195367,92.162883,False,1209
1223,21.192667,92.165998,False,1223
1227,21.193329,92.16757,False,1227
1232,21.192425,92.166641,False,1232
1237,21.193431,92.165086,False,1237
1245,21.190971,92.160496,False,1245
1246,21.190602,92.160808,False,1246
1251,21.191162,92.160339,False,1251
1260,21.190481,92.162242,False,1260
1264,21.190389,92.162168,False,1264
1265,21.190331,92.162023,False,1265
1272,21.190356,92.161797,False,1272
1276,21.190395,92.161545,False,1276
1285,21.190352,92.165371,False,1285
1292,21.19024,92.165106,False,1292
1296,21.190385,92.164663,False,1296
1300,21.190526,92.163967,False,1300
1304,21.190635,92.163754,False,1304
1309,21.190904,92.163167,False,1309
1311,21.202747,92.158264,False,1311
1320,21.202503,92.158472,False,1320
1321,21.202625,92.158352,False,1321
1324,21.202399,92.158594,False,1324
1325,21.199243,92.170386,False,1325
1329,21.203804,92.16351,False,1329
1332,21.203708,92.16368,False,1332
1338,21.203493,92.163824,False,1338
1341,21.203808,92.161117,False,1341
1348,21.205033,92.162301,False,1348
1364,21.20538,92.16303,False,1364
1372,21.205148,92.16307,False,1372
1373,21.204683,92.162966,False,1373
1381,21.204625,92.16288,False,1381
1385,21.206712,92.162779,False,1385
1400,21.20643,92.162294,False,1400
1405,21.206365,92.162142,False,1405
1429,21.204943,92.160396,False,1429
1432,21.205632,92.160391,False,1432
1436,21.206003,92.160448,False,1436
1437,21.205851,92.160362,False,1437
1439,21.206291,92.160492,False,1439
1448,21.206994,92.160547,False,1448
1449,21.206744,92.160333,False,1449
1461,21.202949,92.154672,False,1461
1468,21.202445,92.154875,False,1468
1476,21.203397,92.157102,False,1476
1480,21.203483,92.157044,False,1480
1484,21.20355,92.157005,False,1484
1493,21.204029,92.156541,False,1493
1495,21.204087,92.156273,False,1495
1509,21.203705,92.158947,False,1509
1513,21.203557,92.158811,False,1513
1524,21.20315,92.15878,False,1524
1528,21.203116,92.158756,False,1528
1529,21.203068,92.158658,False,1529
1537,21.202961,92.1582,False,1537
1545,21.202965,92.157888,False,1545
1552,21.203015,92.157749,False,1552
1553,21.20304,92.157482,False,1553
1557,21.20299,92.157376,False,1557
1564,21.202919,92.157256,False,1564
1565,21.20283,92.157203,False,1565
1567,21.202649,92.157104,False,1567
1577,21.202572,92.15707,False,1577
1581,21.202377,92.156934,False,1581
1587,21.202314,92.156895,False,1587
1593,21.202176,92.156825,False,1593
1596,21.201966,92.156702,False,1596
1602,21.201817,92.156624,False,1602
1605,21.201687,92.156586,False,1605
1610,21.201637,92.156566,False,1610
1614,21.201596,92.156566,False,1614
1618,21.201496,92.156564,False,1618
1621,21.201373,92.156581,False,1621
1626,21.201241,92.156525,False,1626
1628,21.201014,92.156451,False,1628
1629,21.201038,92.156459,False,1629
1637,21.200898,92.156342,False,1637
1642,21.200861,92.156289,False,1642
1644,21.200642,92.156035,False,1644
1645,21.200801,92.156145,False,1645
1649,21.201454,92.165293,False,1649
1652,21.201509,92.165381,False,1652
1657,21.201678,92.165816,False,1657
1660,21.201696,92.166039,False,1660
1662,21.20188,92.166244,False,1662
1672,21.20315,92.165982,False,1672
1676,21.203148,92.165508,False,1676
1681,21.203094,92.165273,False,1681
1684,21.203087,92.16497,False,1684
1688,21.2033,92.164466,False,1688
1693,21.203347,92.164005,False,1693
1695,21.196933,92.170305,False,1695
1697,21.197454,92.170612,False,1697
1705,21.19662,92.169997,False,1705
1709,21.196547,92.169966,False,1709
1714,21.196298,92.169534,False,1714
1717,21.194765,92.170988,False,1717
1720,21.189145,92.157854,False,1720
1724,21.188484,92.158935,False,1724
1728,21.189066,92.158928,False,1728
1732,21.189094,92.158908,False,1732
1736,21.189261,92.158538,False,1736
1740,21.189352,92.158455,False,1740
1744,21.189461,92.158204,False,1744
1749,21.189536,92.158065,False,1749
1756,21.192063,92.160093,False,1756
1757,21.191918,92.159977,False,1757
1761,21.191634,92.159843,False,1761
1773,21.195336,92.167637,False,1773
1776,21.196027,92.169267,False,1776
1777,21.196029,92.169084,False,1777
1780,21.195998,92.168982,False,1780
1785,21.1948,92.169538,False,1785
1788,21.195625,92.168966,False,1788
1792,21.196114,92.168859,False,1792
1800,21.196568,92.169014,False,1800
1820,21.195247,92.165436,False,1820
1823,21.194699,92.165532,False,1823
1827,21.193733,92.16879,False,1827
1828,21.192609,92.169775,False,1828
1836,21.192647,92.169611,False,1836
1837,21.193691,92.168974,False,1837
1840,21.193697,92.16901,False,1840
1843,21.19395,92.168638,False,1843
1849,21.17188,92.155159,False,1849
1857,21.172841,92.155293,False,1857
1861,21.173968,92.155607,False,1861
1869,21.176132,92.156603,False,1869
1876,21.176317,92.156701,False,1876
1884,21.178393,92.157415,False,1884
1885,21.179555,92.157375,False,1885
1886,21.179846,92.157346,False,1886
1900,21.18165,92.158029,False,1900
1901,21.182759,92.158609,False,1901
1916,21.18434,92.159444,False,1916
1917,21.184507,92.159586,False,1917
1918,21.185658,92.160674,False,1918
1941,21.184253,92.162413,False,1941
1947,21.184219,92.162421,False,1947
1948,21.183371,92.162556,False,1948
1949,21.183289,92.163054,False,1949
