nodeID,xCoord,yCoord,isHealthcare,old_id,xCoord_proj,yCoord_proj
4,21.211301,92.168111,False,4,413662.77328378125,2345759.973018415
12,21.21268,92.167874,False,12,413638.9771800421,2345912.7357511297
25,21.21359,92.167628,False,25,413613.97458411136,2346013.5925748083
28,21.213685,92.167545,False,28,413605.4154328379,2346024.1528642424
29,21.214089,92.167132,False,29,413562.78608014784,2346069.0947139715
31,21.214141,92.167095,False,31,413558.9762005486,2346074.8704948435
41,21.214336,92.166624,False,41,413510.2056546678,2346096.711155314
45,21.214439,92.166342,False,45,413480.9975006215,2346108.26571617
48,21.214559,92.16603,False,48,413448.6856649486,2346121.718363449
53,21.21459,92.165948,False,53,413440.19314619433,2346125.1944067744
56,21.214977,92.165131,False,56,413355.6244529768,2346168.4761364763
61,21.21508,92.164879,False,61,413329.53014815884,2346180.0145570566
65,21.215331,92.164112,False,65,413250.07189215225,2346208.216414054
72,21.216002,92.163115,False,72,413146.9886087089,2346283.0322519518
77,21.216383,92.162796,False,77,413114.1036345469,2346325.3780355016
81,21.216474,92.162755,False,81,413109.90165526845,2346335.4728146233
84,21.217507,92.162333,False,84,413066.7087691666,2346450.041448253
108,21.220706,92.162198,False,108,413054.5717466193,2346804.194962757
121,21.179033,92.154979,False,121,412280.75592200697,2342195.631012003
123,21.177642,92.154213,False,123,412200.41418981634,2342042.09345217
127,21.189742,92.166712,False,127,413505.0198893528,2343374.4988613212
140,21.189006,92.16863,False,140,413703.6906881584,2343291.990019288
145,21.188225,92.16867,False,145,413707.3895401465,2343205.5241424935
152,21.186765,92.168233,False,152,413661.1783466825,2343044.1636797497
156,21.185676,92.167722,False,156,413607.50009180047,2342923.9073759154
157,21.185451,92.167739,False,157,413609.1340852923,2342898.9942459576
159,21.184538,92.168051,False,159,413640.9918902189,2342797.7699086764
167,21.181299,92.167728,False,167,413605.5798038848,2342439.4410284767
168,21.182711,92.16829,False,168,413664.7413453979,2342595.4204131644
181,21.219607,92.164532,False,181,413296.16034959274,2346681.2724832664
185,21.21947,92.165007,False,185,413345.3778679838,2346665.848604687
190,21.218888,92.165329,False,190,413378.45674152055,2346601.2540746476
192,21.218147,92.165476,False,192,413393.280709605,2346519.156558594
199,21.216054,92.167744,False,199,413627.4476731947,2346286.2552057793
204,21.215868,92.168793,False,204,413736.21177420055,2346265.0959632252
209,21.21579,92.168925,False,209,413749.8663064225,2346256.3906720933
217,21.220191,92.166336,False,217,413483.7275186691,2346744.924985038
220,21.217867,92.166582,False,220,413507.9040047232,2346487.5602272055
221,21.218757,92.16636,False,221,413485.3824176539,2346586.1905671405
228,21.216535,92.164194,False,228,413259.28599656915,2346341.435390685
229,21.216712,92.164155,False,229,413255.34176450514,2346361.047885378
236,21.217488,92.16329,False,236,413166.0206034076,2346447.413176954
239,21.215437,92.161278,False,239,412956.0009514538,2346221.5045415605
248,21.216563,92.15897,False,248,412717.1220969449,2346347.4059575805
249,21.215967,92.160076,False,249,412831.55993180885,2346280.8286417383
261,21.218183,92.157835,False,261,412600.2783435638,2346527.3410115056
262,21.217473,92.158389,False,262,412657.357627789,2346448.449258859
276,21.213419,92.160342,False,276,412857.6715461783,2345998.658411918
280,21.213112,92.160316,False,280,412854.7928365679,2345964.6926252586
284,21.212198,92.160282,False,284,412850.7275026985,2345863.5458445894
292,21.211507,92.160193,False,292,412841.084595946,2345787.111954866
296,21.211209,92.159958,False,296,412816.51896769577,2345754.257398195
301,21.208923,92.166566,False,301,413501.032489246,2345497.6092442996
305,21.208992,92.166498,False,305,413494.01485196303,2345505.2835971885
309,21.209577,92.166032,False,309,413445.9889434407,2345570.2884807796
313,21.210615,92.165848,False,313,413427.4965491326,2345685.2792640715
314,21.210454,92.165819,False,314,413424.39275100303,2345667.474962511
321,21.212697,92.165104,False,321,413351.4914616276,2345916.1307937615
324,21.212625,92.165606,False,324,413403.5515692022,2345907.8868837277
325,21.212663,92.165889,False,325,413432.94603921694,2345911.938128069
329,21.209389,92.162104,False,329,413038.18678699457,2345551.6319104703
332,21.208964,92.162197,False,332,413047.59052523156,2345504.54002875
336,21.208867,92.162217,False,336,413049.6095620619,2345493.7926737326
340,21.208711,92.162249,False,340,413052.8395587209,2345476.508359264
344,21.208494,92.162335,False,344,413061.6386188804,2345452.442659882
349,21.208375,92.162459,False,349,413074.43917478994,2345439.2031640722
351,21.208146,92.162662,False,351,413095.37496253377,2345413.745057324
353,21.210009,92.161795,False,353,413006.47846716933,2345620.4258866
357,21.209577,92.161897,False,357,413016.81208805094,2345572.5542450044
363,21.209075,92.161488,False,363,412974.0672413353,2345517.2154557575
368,21.209032,92.161541,False,368,412979.54300040886,2345512.4269060614
372,21.210015,92.16068,False,372,412890.75501036365,2345621.7029578374
376,21.21,92.160875,False,376,412910.98546071537,2345619.9354342353
380,21.210342,92.161369,False,380,412962.45869372017,2345657.517851721
381,21.210392,92.161275,False,381,412952.73167274444,2345663.1037381254
388,21.210305,92.16144,False,388,412969.80615215603,2345653.383508208
392,21.210112,92.161674,False,392,412993.9801091689,2345631.8928478104
399,21.215522,92.163716,False,399,413209.0838177365,2346229.5741659426
408,21.215189,92.163522,False,408,413188.7543803403,2346192.822658798
412,21.214902,92.16251,False,412,413083.55354043795,2346161.6115268553
425,21.213913,92.161608,False,425,412989.3574836844,2346052.6401875257
428,21.213941,92.16115,False,428,412941.83887218987,2346055.991127431
432,21.213985,92.160972,False,432,412923.3903691279,2346060.9591287714
444,21.214623,92.160035,False,444,412826.51542404544,2346132.0914004543
453,21.214749,92.159709,False,453,412792.754616147,2346146.2171735563
456,21.214802,92.159499,False,456,412770.99033588805,2346152.199138639
468,21.214811,92.15885,False,468,412703.63741124497,2346153.5530259954
473,21.214693,92.158753,False,473,412693.5006062389,2346140.5457558013
476,21.214663,92.158116,False,476,412627.37012677465,2346137.5766441347
477,21.214509,92.158339,False,477,412650.4241954435,2346120.408189202
479,21.214829,92.157882,False,479,412603.18150567845,2346156.079419028
488,21.214869,92.157426,False,488,412555.8778714864,2346160.758597869
493,21.224103,92.16155,False,493,412989.31190978945,2347180.5461406205
497,21.223832,92.160875,False,497,412919.10058687127,2347150.9219347904
508,21.223677,92.159437,False,508,412769.7718638859,2347134.5578067233
512,21.224884,92.158492,False,512,412672.40873481735,2347268.6752307853
516,21.222215,92.162224,False,516,413058.15419374243,2346971.203471783
521,21.221687,92.157877,False,521,412606.7007258963,2346915.156285854
525,21.217706,92.156386,False,525,412449.6119710198,2346475.345256386
527,21.217749,92.155309,False,527,412337.86013092194,2346480.700747082
532,21.214381,92.15456,False,532,412258.1338465689,2346108.330281786
536,21.215159,92.154778,False,536,412281.2193683013,2346194.322013563
540,21.215194,92.154777,False,540,412281.13626263954,2346198.1965250717
541,21.21606,92.15423,False,541,412224.8765605701,2346294.3525005733
548,21.216139,92.154227,False,548,412224.6119140914,2346303.098241151
553,21.216588,92.153668,False,553,412166.86073606764,2346353.1056497097
560,21.202778,92.172213,False,560,414083.58898786735,2344814.381886816
565,21.197277,92.171589,False,565,414015.63662522484,2344205.8480573087
566,21.19715,92.171444,False,566,414000.5121617174,2344191.869897217
571,21.197547,92.170576,False,571,413910.64394958375,2344236.2828056505
572,21.197324,92.171388,False,572,413994.800088645,2344211.15929623
573,21.187795,92.164752,False,573,413300.4263539179,2343160.068105468
580,21.189519,92.167562,False,580,413593.1245588827,2343349.3527155933
581,21.189123,92.167773,False,581,413614.7973237614,2343305.4068774637
584,21.187772,92.168587,False,584,413698.5106498205,2343155.4295431846
592,21.191974,92.170733,False,592,413923.7124913335,2343619.3561242386
596,21.190595,92.170472,False,596,413895.8209271728,2343466.864861398
600,21.190375,92.170239,False,600,413871.50702271215,2343442.6410165066
604,21.189668,92.169612,False,604,413806.01158913696,2343364.7283871584
605,21.19014,92.170066,False,605,413853.4126361572,2343416.724334038
613,21.192741,92.169878,False,613,413835.40522342775,2343704.7152944165
617,21.192663,92.169906,False,617,413838.2664849632,2343696.0667269197
622,21.192357,92.170288,False,622,413877.74189751345,2343661.9898133343
627,21.190969,92.171536,False,627,414006.4851736175,2343507.6829289333
629,21.192188,92.171026,False,629,413954.25078906486,2343642.883357264
633,21.193026,92.170054,False,633,413853.83973370626,2343736.1645187703
636,21.192356,92.17135,False,636,413987.98027400015,2343661.30236152
637,21.19239,92.171342,False,637,413987.1695256468,2343665.069954695
644,21.193486,92.172454,False,644,414103.2320434747,2343785.7763082385
645,21.193821,92.173476,False,645,414209.51141007006,2343822.301760205
652,21.194272,92.171474,False,652,414001.9605829893,2343873.3053554976
656,21.194071,92.171231,False,656,413976.6203929878,2343851.189792013
663,21.193493,92.171688,False,663,414023.72349591734,2343786.966496456
667,21.194467,92.170957,False,667,413948.40796041896,2343895.169381255
669,21.194451,92.171068,False,669,413959.9206834318,2343893.3381645563
671,21.194621,92.171276,False,671,413981.6098365262,2343912.041500439
676,21.203501,92.166407,False,676,413481.37107159174,2344897.566705895
677,21.203496,92.166399,False,677,413480.5377955421,2344897.017655155
681,21.202985,92.166914,False,681,413533.69499790284,2344840.1768666464
688,21.202493,92.167728,False,688,413617.8986685126,2344785.276179866
696,21.204399,92.169548,False,696,413807.91360760503,2344995.2485348354
