Landslide_ID,Latitude,Longitude,Flow_accumulation_10yr_multiplied_log,Flow_accumulation_20yr_multiplied_log,Flow_accumulation_50yr_multiplied_log,Slope_classification,Flow_direction,Runoff_10yr,Runoff_20yr,Runoff_50yr,Fill_sinks,Basins,Landslide_Occurred
1,21.195371,92.137819,6.33711572160957,6.41938106676981,6.523277689474792,2.0,0.0,1322.194580078125,1597.94091796875,2029.8190917968752,22.0,161.0,1
2,21.195408,92.137881,6.33711572160957,7.623501017172444,7.727397639588536,2.0,0.0,1322.194580078125,1597.94091796875,2029.8190917968752,21.0,161.0,1
3,21.195109,92.138158,6.036085725945588,6.41938106676981,6.523277689474792,2.0,0.0,1322.194580078125,1597.94091796875,2029.8190917968752,25.0,161.0,1
4,21.195077,92.13794,6.036085725945588,6.118351071105828,6.22224769381081,1.0,0.0,1322.194580078125,1597.94091796875,2029.8190917968752,25.0,161.0,1
5,21.191602,92.13792,6.513206959163058,6.595472304323296,6.69936893768308,1.0,3.0,1322.194580078125,1597.94091796875,2029.8190917968752,23.0,161.0,1
6,21.191094,92.139632,6.036085725945588,6.118351071105828,6.22224769381081,1.0,0.0,1322.194580078125,1597.94091796875,2029.8190917968752,21.050035476684567,161.0,1
7,21.18798,92.137061,6.036085725945588,6.118351071105828,6.22224769381081,1.0,1.0,1322.194580078125,1597.94091796875,2029.8190917968752,26.0,161.0,1
8,21.187687,92.137115,6.036085725945588,6.118351071105828,6.22224769381081,1.0,1.0,1322.194580078125,1597.94091796875,2029.8190917968752,27.0,161.0,1
9,21.186969,92.137313,6.036085725945588,6.118351071105828,6.22224769381081,1.0,6.0,1322.194580078125,1597.94091796875,2029.8190917968752,23.0,161.0,1
10,21.187229,92.136547,6.33711572160957,6.41938106676981,6.523277689474792,1.0,3.0,1322.194580078125,1597.94091796875,2029.8190917968752,24.0,161.0,1
11,21.191466,92.141624,6.036085725945588,6.118351071105828,6.22224769381081,1.0,0.0,1322.194580078125,1597.94091796875,2029.8190917968752,21.0,161.0,1
12,21.191315,92.139878,6.33711572160957,6.118351071105828,6.22224769381081,1.0,2.0,1322.194580078125,1597.94091796875,2029.8190917968752,21.0,161.0,1
13,21.205852,92.141338,6.33711572160957,6.41938106676981,6.523277689474792,1.0,0.0,1322.194580078125,1597.94091796875,2029.8190917968752,24.0,767.0,1
14,21.204411,92.140678,6.036085725945588,6.118351071105828,6.22224769381081,1.0,6.0,1322.194580078125,1597.94091796875,2029.8190917968752,26.0,767.0,1
15,21.204197,92.141095,6.036085725945588,6.118351071105828,6.22224769381081,1.0,3.0,1322.194580078125,1597.94091796875,2029.8190917968752,27.0,767.0,1
16,21.20415,92.140843,6.036085725945588,6.118351071105828,6.22224769381081,1.0,3.0,1322.194580078125,1597.94091796875,2029.8190917968752,27.0,767.0,1
17,21.204701,92.142285,6.036085725945588,6.118351071105828,6.22224769381081,1.0,1.0,1322.194580078125,1597.94091796875,2029.8190917968752,22.0,767.0,1
18,21.207861,92.141436,6.036085725945588,6.118351071105828,6.22224769381081,1.0,4.0,1322.194580078125,1597.94091796875,2029.8190917968752,24.0,767.0,1
19,21.208291,92.134621,6.036085725945588,6.118351071105828,6.22224769381081,1.0,3.0,1322.194580078125,1597.94091796875,2029.8190917968752,24.0,767.0,1
20,21.20694,92.135062,6.036085725945588,6.118351071105828,6.22224769381081,1.0,2.0,1322.194580078125,1597.94091796875,2029.8190917968752,21.0,767.0,1
21,21.206937,92.134959,6.036085725945588,6.118351071105828,6.22224769381081,1.0,1.0,1322.194580078125,1597.94091796875,2029.8190917968752,22.0,767.0,1
22,21.206823,92.136154,6.63814568502026,6.118351071105828,6.22224769381081,2.0,6.0,1322.194580078125,1597.94091796875,2029.8190917968752,20.0,767.0,1
23,21.202571,92.135722,6.036085725945588,6.118351071105828,6.22224769381081,1.0,7.0,1322.194580078125,1597.94091796875,2029.8190917968752,24.0,767.0,1
24,21.204248,92.135753,6.33711572160957,6.41938106676981,6.523277689474792,2.0,0.0,1322.194580078125,1597.94091796875,2029.8190917968752,19.600425720214844,767.0,1
25,21.203535,92.136858,6.73505571738029,6.817321062540532,6.92121767862152,1.0,0.0,1322.194580078125,1597.94091796875,2029.8190917968752,19.783397674560547,767.0,1
27,21.201641,92.146061,6.036085725945588,6.118351071105828,6.22224769381081,2.0,7.0,1322.194580078125,1597.94091796875,2029.8190917968752,24.0,767.0,1
28,21.200225,92.14471,6.513206959163058,6.595472304323296,6.69936893768308,1.0,0.0,1322.194580078125,1597.94091796875,2029.8190917968752,18.491769790649418,767.0,1
29,21.198921,92.143836,6.638145717273552,6.72041106243379,6.824307685138774,2.0,2.0,1322.194580078125,1597.94091796875,2029.8190917968752,20.0,767.0,1
30,21.197666,92.142812,6.88118377517507,6.96344912033531,7.067345747771714,2.0,4.0,1322.194580078125,1597.94091796875,2029.8190917968752,19.12079620361328,161.0,1
31,21.197759,92.13899,7.89940856397475,7.98167390913499,8.08557052049752,1.0,4.0,1322.194580078125,1597.94091796875,2029.8190917968752,20.341663360595703,161.0,1
32,21.197245,92.139289,6.036085725945588,6.118351071105828,6.22224769381081,1.0,6.0,1322.194580078125,1597.94091796875,2029.8190917968752,23.0,161.0,1
33,21.197594,92.138322,6.036085725945588,6.118351071105828,6.22224769381081,1.0,2.0,1322.194580078125,1597.94091796875,2029.8190917968752,26.0,161.0,1
34,21.193316,92.145555,6.513206959163058,6.595472304323296,6.69936893768308,2.0,4.0,1322.194580078125,1597.94091796875,2029.8190917968752,19.39169883728028,161.0,1
35,21.192213,92.14554,6.036085725945588,6.118351071105828,6.22224769381081,1.0,2.0,1322.194580078125,1597.94091796875,2029.8190917968752,24.0,161.0,1
36,21.191775,92.149041,6.339278468367474,6.42124058419111,6.524804420104004,1.0,4.0,1328.79541015625,1604.7974853515625,2036.9674072265625,21.07076072692871,161.0,1
37,21.191907,92.149136,6.515369705920962,6.597331821744598,6.700895646731704,1.0,0.0,1328.79541015625,1604.7974853515625,2036.9674072265625,21.07076072692871,161.0,1
38,21.191816,92.149505,6.339278468367474,6.12021058852713,6.223774424440022,2.0,5.0,1328.79541015625,1604.7974853515625,2036.9674072265625,24.0,161.0,1
39,21.187977,92.147786,6.640308431778164,6.42124058419111,6.524804420104004,1.0,6.0,1328.79541015625,1604.7974853515625,2036.9674072265625,16.0,161.0,1
40,21.192159,92.149587,6.038248472703492,6.12021058852713,6.223774424440022,1.0,6.0,1328.79541015625,1604.7974853515625,2036.9674072265625,26.0,161.0,1
