Landslide_,Latitude,Longitude,Flow_accum,Flow_acc_1,Flow_acc_2,Slope_clas,Flow_direc,Runoff_10y,Runoff_20y,Runoff_50y,Fill_sinks,Basins,Landslid_1,intersects,GLG
"78",21.192122000000001,92.157098000000005,6.352822227381140,6.432877268756444,6.534350721422870,1.000000000000000,2.000000000000000,1370.887695312500000,1648.378417968750000,2082.238037109375000,21.120796203613281,371.000000000000000,"1","0",H2O
"118",21.193511999999998,92.162415999999993,6.352822227381140,6.131847273092464,6.233320725758888,1.000000000000000,2.000000000000000,1370.887695312500000,1648.378417968750000,2082.238037109375000,23.000000000000000,371.000000000000000,"1","0",H2O
"119",21.192761000000001,92.162063000000003,6.653852223045122,6.733907264420426,6.835380717086850,2.000000000000000,4.000000000000000,1370.887695312500000,1648.378417968750000,2082.238037109375000,19.000000000000000,371.000000000000000,"1","0",H2O
"120",21.193660999999999,92.161337000000003,6.528913464934628,6.608968506309932,6.710441948755598,1.000000000000000,5.000000000000000,1370.887695312500000,1648.378417968750000,2082.238037109375000,22.000000000000000,371.000000000000000,"1","0",H2O
"121",21.194492000000000,92.161192000000000,6.051792231717158,6.131847273092464,6.233320725758888,2.000000000000000,7.000000000000000,1370.887695312500000,1648.378417968750000,2082.238037109375000,24.000000000000000,459.000000000000000,"1","0",H2O
"122",21.195347999999999,92.160792999999998,6.750762223151862,6.830817264527166,6.932290723750316,1.000000000000000,2.000000000000000,1370.887695312500000,1648.378417968750000,2082.238037109375000,19.000000000000000,459.000000000000000,"1","0",H2O
"123",21.193158000000000,92.161816999999999,6.051792231717158,6.131847273092464,6.233320725758888,1.000000000000000,3.000000000000000,1370.887695312500000,1648.378417968750000,2082.238037109375000,22.000000000000000,371.000000000000000,"1","0",H2O
"126",21.202044999999998,92.159216999999998,6.051792231717158,6.131847273092464,6.233320725758888,1.000000000000000,1.000000000000000,1370.887695312500000,1648.378417968750000,2082.238037109375000,15.000000000000000,459.000000000000000,"1","0",H2O
"158",21.200274000000000,92.160838999999996,6.653852190791830,6.733907232167136,6.835380685363898,1.000000000000000,3.000000000000000,1370.887695312500000,1648.378417968750000,2082.238037109375000,9.462451934814451,459.000000000000000,"0","0",H2O
"166",21.201001000000002,92.157552999999993,6.051792231717158,6.432877268756444,6.534350721422870,2.000000000000000,6.000000000000000,1370.887695312500000,1648.378417968750000,2082.238037109375000,15.000000000000000,459.000000000000000,"0","0",H2O
