Landslide_ID,Latitude,Longitude,Susceptibility,Risk_Level
1,21.195371,92.137819,0.4871096146500414,High
2,21.195408,92.137881,0.3929093116406125,High
3,21.195109,92.138158,0.5757624954836819,High
4,21.195077,92.13794,0.32209717663421344,High
5,21.191602,92.13792,0.3785534290244471,High
6,21.191094,92.139632,0.42446455213359374,High
7,21.18798,92.137061,0.5371018571617956,High
8,21.187687,92.137115,0.5636947557629929,High
9,21.186969,92.137313,0.36160966828439706,High
10,21.187229,92.136547,0.4188122652778671,High
11,21.191466,92.141624,0.42315119613763086,High
12,21.191315,92.139878,0.3770253984018253,High
13,21.205852,92.141338,0.2762163097654111,High
14,21.204411,92.140678,0.24632144985920912,Medium
15,21.204197,92.141095,0.315596864972225,High
16,21.20415,92.140843,0.315596864972225,High
17,21.204701,92.142285,0.23981503863606576,Medium
18,21.207861,92.141436,0.11509412567999704,Medium
19,21.208291,92.134621,0.2503865617703269,Medium
20,21.20694,92.135062,0.20749313716487425,Medium
